state,year,below_poverty_line_percent,median_household_income,mean cash public assistance income (dollars)
georgia,2018,0.2277486910994764,0.4448035113528114,0.17893933613124763
georgia,2019,0.20418848167539266,0.48123138512739505,0.17550553223960322
georgia,2020,0.18324607329842932,0.511666325017183,0.20011446012972148
georgia,2021,0.17277486910994763,0.5575598991933053,0.29664250286150323
georgia,2022,0.16230366492146597,0.6338281221738554,0.3571156047310187
hawaii,2010,0.06020942408376963,0.5743208209234183,0.5921404044257916
hawaii,2011,0.07591623036649213,0.5827133400055468,0.648225867989317
hawaii,2012,0.09162303664921467,0.5872472296246277,0.683708508202976
hawaii,2013,0.10209424083769632,0.5861619900881455,0.6661579549790156
hawaii,2014,0.10471204188481677,0.5957965055286926,0.6373521556657764
hawaii,2015,0.10209424083769632,0.6116410027613317,0.5972911102632583
hawaii,2016,0.09162303664921467,0.6413283331926541,0.5532239603204884
hawaii,2017,0.07853403141361258,0.676851840686836,0.502861503243037
hawaii,2018,0.06806282722513089,0.7149678648515031,0.5457840518885921
hawaii,2019,0.054973821989528805,0.7534456355283308,0.5402518122853872
hawaii,2020,0.0523560209424084,0.7763321315310319,0.6272415108737123
hawaii,2021,0.05759162303664921,0.8345974364230505,0.8542541014879816
hawaii,2022,0.06020942408376963,0.9167018364664601,1.0
idaho,2010,0.16492146596858637,0.3331926541341597,0.12628767645936664
idaho,2011,0.18324607329842932,0.3388238415067948,0.17970240366272416
idaho,2012,0.20418848167539266,0.3403311186407978,0.19324685234643266
idaho,2013,0.21465968586387432,0.3373406808069359,0.18294544067149943
idaho,2014,0.21727748691099477,0.34417768988677333,0.1665394887447539
idaho,2015,0.21465968586387432,0.3471801859377073,0.14708126669210225
idaho,2016,0.20680628272251306,0.366364809299297,0.1383059900801221
idaho,2017,0.18848167539267013,0.38820224041673196,0.13925982449446775
idaho,2018,0.17015706806282724,0.4135727291362699,0.14002289202594428
idaho,2019,0.1518324607329843,0.4460816823624459,0.13544448683708507
idaho,2020,0.12041884816753927,0.48382390179788015,0.1686379244563144
idaho,2021,0.10732984293193717,0.5376276663732501,0.21079740557039298
idaho,2022,0.09685863874345549,0.6200696964946762,0.25238458603586417
illinois,2010,0.13874345549738218,0.4454787715088447,0.3216329645173598
illinois,2011,0.1518324607329843,0.45561973206641665,0.37199542159481114
illinois,2012,0.1675392670157068,0.4589598581953672,0.3969858832506677
illinois,2013,0.17801047120418848,0.4582845980393339,0.40747806180847007
illinois,2014,0.18586387434554974,0.46273408013891065,0.3801983975581839
illinois,2015,0.18324607329842932,0.46765383270429633,0.32430370087752763
