state,year,below_poverty_line_percent,median_household_income,mean cash public assistance income (dollars),"agriculture, forestry, fishing and hunting, and mining",construction,manufacturing,wholesale trade,retail trade,"transportation and warehousing, and utilities",information,"finance and insurance, and real estate and rental and leasing","professional, scientific, and management, and administrative and waste management services","educational services, and health care and social assistance","arts, entertainment, and recreation, and accommodation and food services","other services, except public administration",public administration,private wage and salary workers,government workers,self-employed in own not incorporated business workers,unpaid family workers
south carolina,2015,0.09249563699825476,0.1072859766954858,0.06645046419941499,0.005494505494505495,0.044289044289044295,0.05457670820799313,0.05128205128205129,0.06368899917287013,0.019851116625310174,0.016826923076923076,0.025274725274725275,0.014670896114195083,0.038730500268961805,0.014170040485829958,0.013736263736263736,0.009750812567713976,0.16711229946524062,0.08233532934131736,0.04929577464788732,0.0
south carolina,2016,0.08638743455497382,0.11297343574779034,0.05227012590614269,0.005494505494505495,0.04312354312354312,0.05457670820799313,0.05128205128205129,0.06368899917287013,0.02109181141439206,0.016826923076923076,0.025274725274725275,0.015463917525773198,0.03819257665411512,0.014170040485829958,0.015109890109890105,0.00866738894907909,0.1724598930481282,0.0778443113772455,0.04577464788732395,0.05
south carolina,2017,0.08115183246073299,0.12054197666333055,0.05265165967188096,0.005494505494505495,0.045454545454545456,0.05457670820799313,0.04895104895104896,0.06368899917287013,0.022332506203473948,0.016826923076923076,0.02417582417582418,0.015860428231562255,0.038730500268961805,0.01376518218623482,0.015109890109890105,0.008125677139761643,0.17647058823529413,0.07335329341317363,0.04577464788732395,0.05
south carolina,2018,0.07591623036649213,0.12952132897629756,0.0502352791555386,0.005494505494505495,0.046620046620046623,0.05414697034808767,0.04895104895104896,0.06286186931348221,0.024813895781637722,0.01442307692307692,0.025274725274725275,0.016653449643140365,0.03819257665411512,0.01255060728744939,0.015109890109890105,0.007583965330444202,0.18048128342245986,0.06736526946107785,0.04929577464788732,0.05
south carolina,2019,0.06893542757417102,0.13829971100473085,0.05939208953325703,0.005494505494505495,0.048951048951048945,0.05414697034808767,0.044289044289044295,0.061207609594706364,0.026054590570719603,0.01201923076923077,0.025274725274725275,0.01704996034892942,0.0392684238838085,0.012955465587044532,0.016483516483516487,0.007042253521126762,0.18048128342245986,0.06586826347305387,0.052816901408450724,0.05
south carolina,2020,0.06457242582897033,0.144992021479704,0.06333460511255247,0.004884004884004885,0.050116550116550126,0.0528577567683713,0.044289044289044295,0.060380479735318446,0.028535980148883373,0.009615384615384614,0.02417582417582418,0.018239492466296588,0.04088219472834858,0.012145748987854251,0.015109890109890105,0.007583965330444202,0.1751336898395721,0.07035928143712573,0.05633802816901409,0.05
south carolina,2021,0.06282722513089005,0.15853741865727733,0.09411166221543939,0.004884004884004885,0.05128205128205129,0.053287494628276755,0.04195804195804195,0.05789909015715467,0.029776674937965267,0.009615384615384614,0.026373626373626377,0.019032513877874697,0.04088219472834858,0.01133603238866397,0.013736263736263736,0.007583965330444202,0.1724598930481282,0.07035928143712573,0.06338028169014086,0.05
south carolina,2022,0.06195462478184991,0.18019799592432262,0.11337911738522193,0.004884004884004885,0.05128205128205129,0.0528577567683713,0.04195804195804195,0.05707196029776675,0.031017369727047148,0.009615384615384614,0.027472527472527472,0.019825535289452818,0.04088219472834858,0.010931174089068824,0.012362637362637367,0.007583965330444202,0.16844919786096246,0.07335329341317363,0.06338028169014086,0.05
south dakota,2010,0.05584642233856893,0.11084717013742347,0.06066386875238459,0.04395604395604396,0.045454545454545456,0.03824666953158574,0.05361305361305361,0.059553349875930514,0.014888337468982634,0.01923076923076923,0.04835164835164836,0.0,0.04841312533620226,0.007287449392712553,0.005494505494505499,0.010292524377031419,0.106951871657754,0.08532934131736526,0.19366197183098594,0.2
south dakota,2011,0.05671902268760908,0.11744301487582047,0.0710288693882742,0.042735042735042736,0.04312354312354312,0.03824666953158574,0.05128205128205129,0.05872622001654259,0.016129032258064516,0.01923076923076923,0.04505494505494505,0.0003965107057890549,0.049488972565895635,0.008502024291497974,0.006868131868131868,0.011917659804983745,0.10828877005347584,0.08982035928143713,0.17957746478873238,0.15000000000000002
south dakota,2012,0.05671902268760908,0.12178799242743969,0.08158463690703294,0.04151404151404152,0.045454545454545456,0.03781693167168028,0.05361305361305361,0.05789909015715467,0.016129032258064516,0.016826923076923076,0.041758241758241756,0.0,0.05217859064012909,0.008906882591093113,0.005494505494505499,0.011917659804983745,0.11096256684491973,0.09131736526946105,0.16901408450704222,0.15000000000000002
south dakota,2013,0.05933682373472949,0.1234118323264722,0.0764975200305227,0.04212454212454213,0.044289044289044295,0.03566824237215299,0.05128205128205129,0.05872622001654259,0.016129032258064516,0.01923076923076923,0.04285714285714286,0.0007930214115781098,0.050564819795589015,0.010121457489878543,0.005494505494505499,0.011917659804983745,0.11497326203208547,0.08832335329341316,0.16549295774647885,0.09999999999999999
south dakota,2014,0.06020942408376962,0.12680019132371087,0.07319089406079105,0.042735042735042736,0.045454545454545456,0.03695745595186936,0.05827505827505827,0.05707196029776675,0.013647642679900741,0.01442307692307692,0.04285714285714286,0.0,0.052716514254975796,0.009311740890688262,0.006868131868131868,0.011375947995666305,0.12299465240641713,0.08532934131736526,0.15845070422535212,0.05
south dakota,2015,0.05933682373472949,0.12928820344623845,0.07662469795243546,0.04212454212454213,0.048951048951048945,0.03781693167168028,0.05827505827505827,0.0554177005789909,0.014888337468982634,0.01442307692307692,0.04065934065934066,0.0003965107057890549,0.05164066702528241,0.009716599190283403,0.006868131868131868,0.010292524377031419,0.1310160427807486,0.0778443113772455,0.15140845070422532,0.09999999999999999
south dakota,2016,0.05846422338568935,0.13379395722548462,0.06982067913010302,0.04151404151404152,0.052447552447552455,0.03781693167168028,0.05827505827505827,0.05707196029776675,0.014888337468982634,0.01442307692307692,0.04065934065934066,0.0007930214115781098,0.05164066702528241,0.008906882591093113,0.006868131868131868,0.009209100758396531,0.13502673796791434,0.07185628742514968,0.15140845070422532,0.09999999999999999
